tagid,wave,session_date
TAG085,wave_4_scheduling_arm_1,8/31/21
TAG086,wave_1_scheduling_arm_1,5/25/16
TAG086,wave_2_scheduling_arm_1,11/19/17
TAG086,sos_arm_1,12/9/18
TAG086,wave_3_scheduling_arm_1,7/1/19
TAG086,wave_4_scheduling_arm_1,8/10/21
TAG087,wave_1_scheduling_arm_1,10/26/17
TAG087,wave_2_scheduling_arm_1,5/3/19
TAG087,sos_arm_1,8/22/19
TAG087,wave_3_scheduling_arm_1,5/26/21
TAG088,wave_1_scheduling_arm_1,7/5/16
TAG088,wave_2_scheduling_arm_1,3/19/18
TAG088,wave_3_scheduling_arm_1,10/12/19
TAG089,wave_1_scheduling_arm_1,5/27/16
TAG089,wave_2_scheduling_arm_1,11/17/17
TAG089,sos_arm_1,12/8/18
TAG089,wave_3_scheduling_arm_1,5/28/19
TAG089,wave_4_scheduling_arm_1,7/19/21
TAG090,wave_1_scheduling_arm_1,6/22/16
TAG090,wave_2_scheduling_arm_1,12/4/17
TAG090,wave_3_scheduling_arm_1,7/9/19
TAG090,wave_4_scheduling_arm_1,8/19/21
TAG091,wave_1_scheduling_arm_1,1/11/17
TAG091,wave_2_scheduling_arm_1,8/18/18
TAG093,wave_1_scheduling_arm_1,5/28/16
TAG093,wave_2_scheduling_arm_1,2/13/18
TAG093,wave_3_scheduling_arm_1,8/22/19
TAG093,wave_4_scheduling_arm_1,6/14/21
TAG094,wave_1_scheduling_arm_1,5/21/16
TAG094,wave_2_scheduling_arm_1,11/20/17
TAG094,wave_3_scheduling_arm_1,5/21/19
TAG094,wave_4_scheduling_arm_1,7/14/21
TAG095,wave_1_scheduling_arm_1,6/16/17
TAG095,wave_2_scheduling_arm_1,11/8/18
TAG095,wave_3_scheduling_arm_1,11/15/20
TAG097,wave_1_scheduling_arm_1,9/25/16
TAG098,wave_1_scheduling_arm_1,9/27/16
TAG098,wave_2_scheduling_arm_1,3/30/18
TAG098,wave_3_scheduling_arm_1,12/23/19
TAG099,wave_1_scheduling_arm_1,12/1/16
TAG099,wave_2_scheduling_arm_1,7/19/18
TAG099,wave_3_scheduling_arm_1,1/30/20
TAG100,wave_1_scheduling_arm_1,6/6/16
TAG100,wave_2_scheduling_arm_1,3/13/18
TAG100,wave_3_scheduling_arm_1,11/20/19
TAG101,wave_1_scheduling_arm_1,1/28/17
TAG101,wave_2_scheduling_arm_1,9/10/18
TAG101,sos_arm_1,6/8/19
TAG101,wave_3_scheduling_arm_1,1/25/21
TAG102,wave_1_scheduling_arm_1,8/24/16
TAG102,wave_2_scheduling_arm_1,3/27/18
TAG102,sos_arm_1,10/27/19
TAG102,wave_3_scheduling_arm_1,11/18/19
TAG103,wave_1_scheduling_arm_1,1/27/17
TAG103,wave_2_scheduling_arm_1,8/25/18
TAG103,sos_arm_1,5/25/19
TAG103,wave_3_scheduling_arm_1,2/3/21
TAG104,wave_1_scheduling_arm_1,8/16/16
TAG104,wave_2_scheduling_arm_1,3/21/18
TAG104,wave_3_scheduling_arm_1,9/11/19
TAG104,wave_4_scheduling_arm_1,10/4/21
TAG105,wave_1_scheduling_arm_1,9/17/16
TAG105,wave_2_scheduling_arm_1,3/28/18
TAG105,wave_3_scheduling_arm_1,1/28/20
TAG105,wave_4_scheduling_arm_1,9/11/21
TAG106,wave_1_scheduling_arm_1,6/21/17
TAG106,wave_2_scheduling_arm_1,11/16/18
TAG106,sos_arm_1,6/2/19
TAG106,wave_3_scheduling_arm_1,2/16/21
TAG107,wave_1_scheduling_arm_1,2/20/17
TAG107,wave_2_scheduling_arm_1,10/12/18
TAG108,wave_1_scheduling_arm_1,8/4/16
TAG109,wave_1_scheduling_arm_1,10/7/16
TAG110,wave_1_scheduling_arm_1,7/14/17
TAG110,wave_2_scheduling_arm_1,12/11/18
TAG110,sos_arm_1,8/15/19
TAG110,wave_3_scheduling_arm_1,4/14/21
TAG111,wave_1_scheduling_arm_1,10/14/16
TAG111,wave_2_scheduling_arm_1,6/25/18
TAG111,wave_3_scheduling_arm_1,2/3/20
TAG112,wave_1_scheduling_arm_1,1/28/17
TAG112,wave_2_scheduling_arm_1,7/31/18
TAG112,wave_3_scheduling_arm_1,1/31/19
TAG113,wave_1_scheduling_arm_1,1/14/17
TAG113,wave_2_scheduling_arm_1,7/3/18
TAG113,wave_3_scheduling_arm_1,12/13/19
TAG114,wave_1_scheduling_arm_1,9/8/16
TAG114,wave_2_scheduling_arm_1,6/14/18
TAG115,wave_1_scheduling_arm_1,10/19/17
TAG116,wave_1_scheduling_arm_1,10/3/17
TAG116,wave_2_scheduling_arm_1,5/11/19
TAG116,wave_3_scheduling_arm_1,5/7/21
TAG117,wave_1_scheduling_arm_1,12/12/16
TAG117,wave_2_scheduling_arm_1,6/19/18
TAG117,wave_3_scheduling_arm_1,12/4/19
TAG119,wave_1_scheduling_arm_1,7/5/16
TAG119,wave_2_scheduling_arm_1,3/23/18
TAG119,wave_3_scheduling_arm_1,9/24/19
TAG120,wave_1_scheduling_arm_1,9/5/17
TAG120,wave_2_scheduling_arm_1,4/9/19
TAG120,sos_arm_1,8/8/19
TAG120,wave_3_scheduling_arm_1,12/23/20
TAG122,wave_1_scheduling_arm_1,9/29/17
TAG122,wave_2_scheduling_arm_1,4/2/19
TAG122,sos_arm_1,10/5/19
TAG122,wave_3_scheduling_arm_1,12/6/20
TAG124,wave_1_scheduling_arm_1,11/16/17
TAG124,wave_2_scheduling_arm_1,4/23/19
TAG124,sos_arm_1,12/8/19
TAG124,wave_3_scheduling_arm_1,8/5/21
TAG125,wave_1_scheduling_arm_1,10/31/17
TAG125,wave_2_scheduling_arm_1,5/6/19
TAG127,wave_1_scheduling_arm_1,11/9/17
TAG127,wave_2_scheduling_arm_1,5/30/19
TAG127,wave_3_scheduling_arm_1,7/9/21
TAG130,wave_1_scheduling_arm_1,9/14/16
TAG130,wave_2_scheduling_arm_1,4/2/18
TAG130,wave_3_scheduling_arm_1,11/4/19
TAG131,wave_1_scheduling_arm_1,2/22/17
TAG131,wave_2_scheduling_arm_1,8/13/18
TAG131,sos_arm_1,4/20/19
TAG131,wave_3_scheduling_arm_1,2/21/20
TAG131,wave_4_scheduling_arm_1,4/14/21
TAG132,wave_1_scheduling_arm_1,1/15/17
TAG132,wave_2_scheduling_arm_1,8/24/18
TAG132,sos_arm_1,3/23/19
TAG132,wave_3_scheduling_arm_1,2/7/20
TAG137,wave_1_scheduling_arm_1,10/23/16
TAG138,wave_1_scheduling_arm_1,10/15/16
TAG138,wave_2_scheduling_arm_1,5/2/18
TAG138,sos_arm_1,3/2/19
TAG138,wave_3_scheduling_arm_1,10/14/19
TAG140,wave_1_scheduling_arm_1,10/28/16
TAG140,wave_2_scheduling_arm_1,5/11/18
TAG140,sos_arm_1,3/10/19
TAG140,wave_3_scheduling_arm_1,10/11/19
TAG140,wave_4_scheduling_arm_1,9/16/21
TAG141,wave_1_scheduling_arm_1,10/23/16
TAG141,wave_2_scheduling_arm_1,6/4/18
TAG141,sos_arm_1,4/14/19
TAG141,wave_3_scheduling_arm_1,2/5/20
TAG141,wave_4_scheduling_arm_1,8/9/21
TAG143,wave_1_scheduling_arm_1,6/8/16
TAG143,wave_2_scheduling_arm_1,3/20/18
TAG143,wave_3_scheduling_arm_1,3/11/20
TAG144,wave_1_scheduling_arm_1,10/19/16
TAG144,wave_2_scheduling_arm_1,4/25/18
TAG144,wave_3_scheduling_arm_1,1/6/20
TAG144,wave_4_scheduling_arm_1,1/23/21
TAG145,wave_1_scheduling_arm_1,2/15/17
TAG147,wave_1_scheduling_arm_1,1/29/18
TAG147,wave_2_scheduling_arm_1,9/4/19
TAG147,wave_3_scheduling_arm_1,12/3/20
TAG149,wave_1_scheduling_arm_1,6/17/16
TAG149,wave_2_scheduling_arm_1,12/4/17
TAG149,wave_3_scheduling_arm_1,7/26/19
TAG149,wave_4_scheduling_arm_1,9/8/21
TAG152,wave_1_scheduling_arm_1,2/20/17
TAG152,wave_2_scheduling_arm_1,9/14/18
TAG152,wave_3_scheduling_arm_1,12/21/20
TAG155,wave_1_scheduling_arm_1,10/24/17
TAG155,wave_2_scheduling_arm_1,8/13/19
TAG155,wave_3_scheduling_arm_1,7/26/21
TAG158,wave_1_scheduling_arm_1,2/15/17
TAG159,wave_1_scheduling_arm_1,6/13/16
TAG159,wave_2_scheduling_arm_1,2/1/18
TAG159,wave_3_scheduling_arm_1,8/9/19
TAG159,wave_4_scheduling_arm_1,8/24/21
TAG160,wave_1_scheduling_arm_1,7/28/16
TAG160,wave_2_scheduling_arm_1,2/12/18
TAG160,sos_arm_1,3/21/20
TAG160,wave_3_scheduling_arm_1,8/8/19
TAG160,wave_4_scheduling_arm_1,8/23/21
TAG164,wave_1_scheduling_arm_1,6/25/16
TAG164,wave_2_scheduling_arm_1,12/4/17
TAG164,sos_arm_1,2/17/19
TAG164,wave_3_scheduling_arm_1,8/16/19
TAG165,wave_1_scheduling_arm_1,2/9/18
TAG166,wave_1_scheduling_arm_1,8/24/17
TAG166,wave_2_scheduling_arm_1,2/5/19
TAG167,wave_1_scheduling_arm_1,12/30/16
TAG167,wave_2_scheduling_arm_1,7/17/18
