TAGID,wave,session_date
TAG_101,wave_1_scheduling_arm_1,2017-01-28
TAG_101,wave_2_scheduling_arm_1,2018-09-10
TAG_101,sos_arm_1,2019-06-08
TAG_101,wave_3_scheduling_arm_1,2021-01-25
TAG_102,wave_1_scheduling_arm_1,2016-08-24
TAG_102,wave_2_scheduling_arm_1,2018-03-27
TAG_102,sos_arm_1,2019-10-27
TAG_102,wave_3_scheduling_arm_1,2019-11-18
TAG_103,wave_1_scheduling_arm_1,2017-01-27
TAG_103,wave_2_scheduling_arm_1,2018-08-25
TAG_103,sos_arm_1,2019-05-25
TAG_103,wave_3_scheduling_arm_1,2021-02-03
TAG_104,wave_1_scheduling_arm_1,2016-08-16
TAG_104,wave_2_scheduling_arm_1,2018-03-21
TAG_104,wave_3_scheduling_arm_1,2019-09-11
TAG_105,wave_1_scheduling_arm_1,2016-09-17
TAG_105,wave_2_scheduling_arm_1,2018-03-28
TAG_105,wave_3_scheduling_arm_1,2020-01-28
TAG_106,wave_1_scheduling_arm_1,2017-06-21
TAG_106,wave_2_scheduling_arm_1,2018-11-16
TAG_106,sos_arm_1,2019-06-02
TAG_106,wave_3_scheduling_arm_1,2021-02-16
TAG_107,wave_1_scheduling_arm_1,2017-02-20
TAG_107,wave_2_scheduling_arm_1,2018-10-12
TAG_108,wave_1_scheduling_arm_1,2016-08-04
TAG_109,wave_1_scheduling_arm_1,2016-10-07
TAG_110,wave_1_scheduling_arm_1,2017-07-14
TAG_110,wave_2_scheduling_arm_1,2018-12-11
TAG_110,sos_arm_1,2019-08-15
TAG_111,wave_1_scheduling_arm_1,2016-10-14
TAG_111,wave_2_scheduling_arm_1,2018-06-25
TAG_111,wave_3_scheduling_arm_1,2020-02-03
TAG_112,wave_1_scheduling_arm_1,2017-01-28
TAG_112,wave_2_scheduling_arm_1,2018-07-31
TAG_112,wave_3_scheduling_arm_1,2019-01-31
TAG_113,wave_1_scheduling_arm_1,2017-01-14
TAG_113,wave_2_scheduling_arm_1,2018-07-03
TAG_113,wave_3_scheduling_arm_1,2019-12-13
TAG_114,wave_1_scheduling_arm_1,2016-09-08
TAG_114,wave_2_scheduling_arm_1,2018-06-14
TAG_115,wave_1_scheduling_arm_1,2017-10-19
TAG_116,wave_1_scheduling_arm_1,2017-10-03
TAG_116,wave_2_scheduling_arm_1,2019-05-11
